player_id,player_name,player_display_name,position,position_group,headshot_url,season,week,season_type,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,fantasy_points,fantasy_points_ppr,game_id,player,offense_snaps,offense_pct,snap_share,rolling_target_share,rolling_snap_share,rolling_air_yards_share
00-0019596,T.Brady,tom brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",2021,1,REG,TB,DAL,32,50,379,4,2,0,0,0,0,446,176,22,14.006987331264142,3.231738739543491,0,0.8497757847533632,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,27.16,27.16,,tom brady,65.0,1.0,1.0,0.0,1.0,0.0
00-0019596,T.Brady,tom brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",2021,2,REG,TB,ATL,24,36,276,5,0,3,-17,1,1,347,88,15,1.8543642080330756,4.938580904688154,0,0.7953890489913544,1,6,0,0,0,1,1.2840403866721315,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,29.64,29.64,,tom brady,60.0,0.95,0.95,0.0,0.9875,0.0
00-0019596,T.Brady,tom brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",2021,3,REG,TB,LA,41,55,432,1,0,3,-21,1,0,382,238,24,13.163302539915692,3.7769604612279823,0,1.130890052356021,3,14,1,0,0,1,0.5629274345119484,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,28.68,28.68,,tom brady,73.0,1.0,1.0,0.0,0.9875,0.0
00-0019596,T.Brady,tom brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",2021,4,REG,TB,NE,22,43,269,0,0,1,-8,0,0,459,109,12,2.2452076453571177,-10.716984438341717,0,0.5860566448801743,4,3,0,0,0,1,1.6620586980134249,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,11.06,11.06,,tom brady,78.0,1.0,1.0,0.0,0.9875,0.0
00-0019596,T.Brady,tom brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",2021,5,REG,TB,MIA,30,41,411,5,0,2,-15,0,0,421,225,24,28.323593633513028,13.526475429534912,0,0.97624703087886,1,13,0,0,0,1,0.865390934081435,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,37.739999999999995,37.739999999999995,,tom brady,62.0,0.84,0.84,0.0,0.9475,0.0
00-0019596,T.Brady,tom brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",2021,6,REG,TB,PHI,34,42,297,2,1,0,0,0,0,283,191,17,13.495770434703443,12.943631197725024,0,1.0494699646643109,4,1,0,0,0,1,-3.689732155238744,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,17.980000000000004,17.980000000000004,,tom brady,75.0,1.0,1.0,0.0,0.96,0.0
00-0019596,T.Brady,tom brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",2021,7,REG,TB,CHI,20,36,211,4,0,0,0,0,0,281,75,12,9.262589475397338,-8.540324949555927,0,0.7508896797153025,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,24.44,24.44,,tom brady,65.0,0.89,0.89,0.0,0.9324999999999999,0.0
00-0019596,T.Brady,tom brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",2021,8,REG,TB,NO,28,40,375,4,2,3,-25,1,1,340,205,13,0.9626899479771964,0.4075223952531814,0,1.1029411764705883,1,2,0,0,0,1,0.5013113231398165,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,25.2,25.2,,tom brady,61.0,1.0,1.0,0.0,0.9324999999999999,0.0
00-0019596,T.Brady,tom brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",2021,10,REG,TB,WAS,23,34,220,2,2,0,0,0,0,198,113,8,-2.893736566748424,-1.1320946794567686,0,1.1111111111111112,1,2,0,0,0,1,2.0381709905341268,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,13.0,13.0,,tom brady,48.0,1.0,1.0,0.0,0.9724999999999999,0.0
00-0019596,T.Brady,tom brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",2021,11,REG,TB,NYG,30,46,307,2,1,0,0,0,0,344,128,16,6.539577307886393,-1.0897271500693426,0,0.8924418604651163,1,10,0,0,0,1,1.5303811880294234,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,19.28,19.28,,tom brady,69.0,0.88,0.88,0.0,0.9425,0.0
